Throws,Threads,Pi (Serial),Serial Time (s),Pi (Parallel),Parallel Time (s)
1000000,2,3.138712,0.0271096,3.14306,0.0135654
1000000,4,3.138712,0.025979000000000002,3.141772,0.009465600000000001
1000000,8,3.138712,0.0261204,3.140048,0.0073972
1000000,16,3.138712,0.026101999999999997,3.141908,0.008466999999999999
100000000,2,3.141738,2.5690862,3.141882,1.3332332
100000000,4,3.141738,2.5678908,3.141732,0.7109907999999999
100000000,8,3.141738,2.5686234,3.141733,0.711434
100000000,16,3.141738,2.5729294,3.14174,0.7077644
1000000000,2,3.141572,25.7188674,3.141597,13.353160399999998
1000000000,4,3.141572,25.7096748,3.141667,7.0803488
1000000000,8,3.141572,25.848373,3.141702,7.0774208000000005
1000000000,16,3.141572,25.793876800000003,3.141661,7.047139999999999
