Iterations,Threads,Shared (Mutex),Mutex Time (s),Shared (Atomic),Atomic Time (s)
1000000,2,1000000,0.049481000000000004,1000000,0.0204378
1000000,4,1000000,0.056408,1000000,0.0203408
1000000,8,1000000,0.057546,1000000,0.020329
1000000,16,1000000,0.0577214,1000000,0.0215446
100000000,2,100000000,4.9514926,100000000,1.9542242
100000000,4,100000000,5.40599,100000000,2.1352204
100000000,8,100000000,5.6687972,100000000,2.0595922
100000000,16,100000000,5.8049387999999995,100000000,2.117906
1000000000,2,1000000000,50.0855782,1000000000,21.232305200000003
1000000000,4,1000000000,55.7180302,1000000000,21.086189
1000000000,8,1000000000,58.83339440000001,1000000000,21.7636324
1000000000,16,1000000000,56.1733114,1000000000,21.771159599999997
