Iterations,Threads,Sum,Time (s),Sum Opt,Time Opt (s)
1000000,2,1000000,0.0051056,1000000,0.0044728
1000000,4,1000000,0.004364,1000000,0.0016408
1000000,8,1000000,0.0038623999999999998,1000000,0.0010018
1000000,16,1000000,0.0030865999999999997,1000000,0.0009484000000000001
100000000,2,100000000,0.5316154,100000000,0.4179148
100000000,4,100000000,0.45825440000000006,100000000,0.1981358
100000000,8,100000000,0.4221328000000001,100000000,0.0571296
100000000,16,100000000,0.23395380000000002,100000000,0.0544736
1000000000,2,1000000000,5.526928,1000000000,3.8546878000000007
1000000000,4,1000000000,4.8031076,1000000000,2.2568518
1000000000,8,1000000000,3.8059628000000005,1000000000,0.5420908
1000000000,16,1000000000,2.2610751999999996,1000000000,0.523019
