Threads,Elapsed Time (s),Total Ops,Member Ops (%),Insert Ops (%),Delete Ops (%)
2,0.5077159,500000,99.91,0.04,0.05
4,0.3594751,500000,99.9,0.04,0.05
8,0.4018731,500000,99.91,0.05,0.05
16,0.4440382,500000,99.91,0.04,0.05
2,18.38681,500000,94.99,2.97,2.03
4,19.04725,500000,94.98,3.01,2.0
8,20.14022,500000,95.03,2.97,2.0
16,25.31474,500000,95.03,3.02,1.95
2,36.59843,500000,89.96,5.03,5.01
4,40.26346,500000,89.95,5.03,5.02
8,41.49172,500000,89.99,5.04,4.97
16,47.83583,500000,90.0,5.03,4.97
2,85.08262,500000,79.92,10.04,10.04
4,89.78151,500000,79.99,9.96,10.05
8,90.21368,500000,79.99,10.0,10.01
16,99.38099,500000,79.93,10.07,10.0
